"Day","Number of animals","Number of grass fields","Most popular genom","Average energy level","Average child count","Average dead animal age","Number of animals ever lived"
"1319","2","788","[W, N, SE, W, W]","2474.5","0.5","50.73","13"
"1320","2","788","[W, N, SE, W, W]","2473.5","0.5","50.73","13"
"1321","2","788","[W, N, SE, W, W]","2472.5","0.5","50.73","13"
"1322","2","788","[W, N, SE, W, W]","2471.5","0.5","50.73","13"
"1323","2","789","[W, N, SE, W, W]","2470.5","0.5","50.73","13"
"1324","2","788","[W, N, SE, W, W]","2474.5","0.5","50.73","13"
"1325","2","786","[W, N, SE, W, W]","2483.5","0.5","50.73","13"
"1326","2","787","[W, N, SE, W, W]","2482.5","0.5","50.73","13"
"1327","2","787","[W, N, SE, W, W]","2481.5","0.5","50.73","13"
"1328","2","786","[W, N, SE, W, W]","2485.5","0.5","50.73","13"
"1329","2","785","[W, N, SE, W, W]","2489.5","0.5","50.73","13"
"1330","2","785","[W, N, SE, W, W]","2488.5","0.5","50.73","13"
"1331","2","785","[W, N, SE, W, W]","2487.5","0.5","50.73","13"
"1332","2","786","[W, N, SE, W, W]","2486.5","0.5","50.73","13"
"1333","2","787","[W, N, SE, W, W]","2485.5","0.5","50.73","13"
"1334","2","787","[W, N, SE, W, W]","2484.5","0.5","50.73","13"
"1335","2","787","[W, N, SE, W, W]","2483.5","0.5","50.73","13"
"1336","2","788","[W, N, SE, W, W]","2482.5","0.5","50.73","13"
"1337","2","788","[W, N, SE, W, W]","2481.5","0.5","50.73","13"
"1338","2","788","[W, N, SE, W, W]","2480.5","0.5","50.73","13"
"1339","2","787","[W, N, SE, W, W]","2484.5","0.5","50.73","13"
"1340","2","786","[W, N, SE, W, W]","2488.5","0.5","50.73","13"
"1341","2","786","[W, N, SE, W, W]","2487.5","0.5","50.73","13"
"1342","2","786","[W, N, SE, W, W]","2486.5","0.5","50.73","13"
"1343","2","786","[W, N, SE, W, W]","2485.5","0.5","50.73","13"
"1344","2","786","[W, N, SE, W, W]","2484.5","0.5","50.73","13"
"1345","2","785","[W, N, SE, W, W]","2493.5","0.5","50.73","13"
"1346","2","785","[W, N, SE, W, W]","2492.5","0.5","50.73","13"
"1347","2","786","[W, N, SE, W, W]","2491.5","0.5","50.73","13"
"1348","2","787","[W, N, SE, W, W]","2490.5","0.5","50.73","13"
"1349","2","787","[W, N, SE, W, W]","2489.5","0.5","50.73","13"
"1350","2","787","[W, N, SE, W, W]","2488.5","0.5","50.73","13"
"1351","2","789","[W, N, SE, W, W]","2487.5","0.5","50.73","13"
"1352","2","789","[W, N, SE, W, W]","2486.5","0.5","50.73","13"
"1353","2","789","[W, N, SE, W, W]","2485.5","0.5","50.73","13"
"1354","2","789","[W, N, SE, W, W]","2489.5","0.5","50.73","13"
"1355","2","791","[W, N, SE, W, W]","2488.5","0.5","50.73","13"
"1356","2","791","[W, N, SE, W, W]","2487.5","0.5","50.73","13"
"1357","2","790","[W, N, SE, W, W]","2491.5","0.5","50.73","13"
"1358","2","790","[W, N, SE, W, W]","2490.5","0.5","50.73","13"
"1359","2","792","[W, N, SE, W, W]","2489.5","0.5","50.73","13"
"1360","2","792","[W, N, SE, W, W]","2488.5","0.5","50.73","13"
"1361","2","793","[W, N, SE, W, W]","2487.5","0.5","50.73","13"
"1362","2","793","[W, N, SE, W, W]","2486.5","0.5","50.73","13"
"1363","2","792","[W, N, SE, W, W]","2490.5","0.5","50.73","13"
"1364","2","790","[W, N, SE, W, W]","2499.5","0.5","50.73","13"
"1365","2","791","[W, N, SE, W, W]","2498.5","0.5","50.73","13"
"1366","2","791","[W, N, SE, W, W]","2497.5","0.5","50.73","13"
"1367","2","792","[W, N, SE, W, W]","2496.5","0.5","50.73","13"
"1368","2","792","[W, N, SE, W, W]","2500.5","0.5","50.73","13"
"1369","2","791","[W, N, SE, W, W]","2509.5","0.5","50.73","13"
"1370","2","790","[W, N, SE, W, W]","2518.5","0.5","50.73","13"
"1371","2","789","[W, N, SE, W, W]","2522.5","0.5","50.73","13"
"1372","2","788","[W, N, SE, W, W]","2526.5","0.5","50.73","13"
"1373","2","787","[W, N, SE, W, W]","2535.5","0.5","50.73","13"
"1374","2","786","[W, N, SE, W, W]","2539.5","0.5","50.73","13"
"1375","2","786","[W, N, SE, W, W]","2543.5","0.5","50.73","13"
"1376","2","786","[W, N, SE, W, W]","2547.5","0.5","50.73","13"
"1377","2","785","[W, N, SE, W, W]","2551.5","0.5","50.73","13"
"1378","2","785","[W, N, SE, W, W]","2550.5","0.5","50.73","13"
"1379","2","785","[W, N, SE, W, W]","2549.5","0.5","50.73","13"
"1380","2","785","[W, N, SE, W, W]","2548.5","0.5","50.73","13"
"1381","2","786","[W, N, SE, W, W]","2547.5","0.5","50.73","13"
"1382","2","787","[W, N, SE, W, W]","2546.5","0.5","50.73","13"
"1383","2","786","[W, N, SE, W, W]","2550.5","0.5","50.73","13"
"1384","2","785","[W, N, SE, W, W]","2554.5","0.5","50.73","13"
"1385","2","785","[W, N, SE, W, W]","2553.5","0.5","50.73","13"
"1386","2","786","[W, N, SE, W, W]","2552.5","0.5","50.73","13"
"1387","2","788","[W, N, SE, W, W]","2551.5","0.5","50.73","13"
"1388","2","790","[W, N, SE, W, W]","2550.5","0.5","50.73","13"
"1389","2","791","[W, N, SE, W, W]","2549.5","0.5","50.73","13"
"1390","2","792","[W, N, SE, W, W]","2548.5","0.5","50.73","13"
"1391","2","791","[W, N, SE, W, W]","2552.5","0.5","50.73","13"
"1392","2","792","[W, N, SE, W, W]","2551.5","0.5","50.73","13"
"1393","2","790","[W, N, SE, W, W]","2560.5","0.5","50.73","13"
"1394","2","790","[W, N, SE, W, W]","2559.5","0.5","50.73","13"
"1395","2","789","[W, N, SE, W, W]","2563.5","0.5","50.73","13"
"1396","2","789","[W, N, SE, W, W]","2562.5","0.5","50.73","13"
"1397","2","788","[W, N, SE, W, W]","2566.5","0.5","50.73","13"
"1398","2","788","[W, N, SE, W, W]","2565.5","0.5","50.73","13"
"1399","2","788","[W, N, SE, W, W]","2564.5","0.5","50.73","13"
"1400","2","788","[W, N, SE, W, W]","2563.5","0.5","50.73","13"
"1401","2","787","[W, N, SE, W, W]","2567.5","0.5","50.73","13"
"1402","2","788","[W, N, SE, W, W]","2566.5","0.5","50.73","13"
"1403","2","790","[W, N, SE, W, W]","2565.5","0.5","50.73","13"
"1404","2","789","[W, N, SE, W, W]","2569.5","0.5","50.73","13"
"1405","2","791","[W, N, SE, W, W]","2568.5","0.5","50.73","13"
"1406","2","792","[W, N, SE, W, W]","2572.5","0.5","50.73","13"
"1407","2","794","[W, N, SE, W, W]","2571.5","0.5","50.73","13"
"1408","2","794","[W, N, SE, W, W]","2570.5","0.5","50.73","13"
"1409","2","794","[W, N, SE, W, W]","2569.5","0.5","50.73","13"
"1410","2","794","[W, N, SE, W, W]","2568.5","0.5","50.73","13"
"1411","2","794","[W, N, SE, W, W]","2567.5","0.5","50.73","13"
"1412","2","794","[W, N, SE, W, W]","2571.5","0.5","50.73","13"
"1413","2","794","[W, N, SE, W, W]","2575.5","0.5","50.73","13"
"1414","2","794","[W, N, SE, W, W]","2574.5","0.5","50.73","13"
"1415","2","795","[W, N, SE, W, W]","2573.5","0.5","50.73","13"
"1416","2","795","[W, N, SE, W, W]","2572.5","0.5","50.73","13"
"1417","2","797","[W, N, SE, W, W]","2571.5","0.5","50.73","13"
"1418","2","797","[W, N, SE, W, W]","2570.5","0.5","50.73","13"
"1419","2","796","[W, N, SE, W, W]","2579.5","0.5","50.73","13"
"1420","2","797","[W, N, SE, W, W]","2578.5","0.5","50.73","13"
"1421","2","799","[W, N, SE, W, W]","2577.5","0.5","50.73","13"
"1422","2","798","[W, N, SE, W, W]","2581.5","0.5","50.73","13"
"1423","2","797","[W, N, SE, W, W]","2585.5","0.5","50.73","13"
"1424","2","797","[W, N, SE, W, W]","2584.5","0.5","50.73","13"
"1425","2","796","[W, N, SE, W, W]","2588.5","0.5","50.73","13"
"1426","2","795","[W, N, SE, W, W]","2592.5","0.5","50.73","13"
"1427","2","796","[W, N, SE, W, W]","2591.5","0.5","50.73","13"
"1428","2","798","[W, N, SE, W, W]","2590.5","0.5","50.73","13"
"1429","2","797","[W, N, SE, W, W]","2594.5","0.5","50.73","13"
"1430","2","797","[W, N, SE, W, W]","2593.5","0.5","50.73","13"
"1431","2","797","[W, N, SE, W, W]","2592.5","0.5","50.73","13"
"1432","2","797","[W, N, SE, W, W]","2591.5","0.5","50.73","13"
"1433","2","797","[W, N, SE, W, W]","2595.5","0.5","50.73","13"
"1434","2","796","[W, N, SE, W, W]","2599.5","0.5","50.73","13"
"1435","2","794","[W, N, SE, W, W]","2608.5","0.5","50.73","13"
"1436","2","795","[W, N, SE, W, W]","2607.5","0.5","50.73","13"
"1437","2","796","[W, N, SE, W, W]","2606.5","0.5","50.73","13"
"1438","2","796","[W, N, SE, W, W]","2610.5","0.5","50.73","13"
"1439","2","796","[W, N, SE, W, W]","2614.5","0.5","50.73","13"
"1440","2","794","[W, N, SE, W, W]","2623.5","0.5","50.73","13"
"1441","2","794","[W, N, SE, W, W]","2622.5","0.5","50.73","13"
"1442","2","793","[W, N, SE, W, W]","2626.5","0.5","50.73","13"
"1443","2","792","[W, N, SE, W, W]","2630.5","0.5","50.73","13"
"1444","2","793","[W, N, SE, W, W]","2634.5","0.5","50.73","13"
"1445","2","791","[W, N, SE, W, W]","2643.5","0.5","50.73","13"
"1446","2","791","[W, N, SE, W, W]","2647.5","0.5","50.73","13"
"1447","2","791","[W, N, SE, W, W]","2651.5","0.5","50.73","13"
"1448","2","790","[W, N, SE, W, W]","2655.5","0.5","50.73","13"
"1449","2","791","[W, N, SE, W, W]","2659.5","0.5","50.73","13"
"1450","2","791","[W, N, SE, W, W]","2663.5","0.5","50.73","13"
"1451","2","792","[W, N, SE, W, W]","2667.5","0.5","50.73","13"
"1452","2","791","[W, N, SE, W, W]","2676.5","0.5","50.73","13"
"1453","2","791","[W, N, SE, W, W]","2680.5","0.5","50.73","13"
"1454","2","791","[W, N, SE, W, W]","2679.5","0.5","50.73","13"
"1455","2","791","[W, N, SE, W, W]","2678.5","0.5","50.73","13"
"1456","2","792","[W, N, SE, W, W]","2677.5","0.5","50.73","13"
"1457","2","792","[W, N, SE, W, W]","2676.5","0.5","50.73","13"
"1458","2","793","[W, N, SE, W, W]","2675.5","0.5","50.73","13"
"1459","2","792","[W, N, SE, W, W]","2679.5","0.5","50.73","13"
"1460","2","792","[W, N, SE, W, W]","2678.5","0.5","50.73","13"
"1461","2","793","[W, N, SE, W, W]","2677.5","0.5","50.73","13"
"1462","2","792","[W, N, SE, W, W]","2681.5","0.5","50.73","13"
"1463","2","793","[W, N, SE, W, W]","2680.5","0.5","50.73","13"
"1464","2","792","[W, N, SE, W, W]","2684.5","0.5","50.73","13"
"1465","2","792","[W, N, SE, W, W]","2688.5","0.5","50.73","13"
"1466","2","792","[W, N, SE, W, W]","2687.5","0.5","50.73","13"
"1467","2","791","[W, N, SE, W, W]","2691.5","0.5","50.73","13"
"1468","2","790","[W, N, SE, W, W]","2695.5","0.5","50.73","13"
"1469","2","790","[W, N, SE, W, W]","2694.5","0.5","50.73","13"
"1470","2","789","[W, N, SE, W, W]","2698.5","0.5","50.73","13"
"1471","2","789","[W, N, SE, W, W]","2697.5","0.5","50.73","13"
"1472","2","789","[W, N, SE, W, W]","2696.5","0.5","50.73","13"
"1473","2","790","[W, N, SE, W, W]","2695.5","0.5","50.73","13"
"1474","2","791","[W, N, SE, W, W]","2694.5","0.5","50.73","13"
"1475","2","791","[W, N, SE, W, W]","2693.5","0.5","50.73","13"
"1476","2","792","[W, N, SE, W, W]","2692.5","0.5","50.73","13"
"1477","2","793","[W, N, SE, W, W]","2691.5","0.5","50.73","13"
"1478","2","792","[W, N, SE, W, W]","2695.5","0.5","50.73","13"
"1479","2","793","[W, N, SE, W, W]","2704.5","0.5","50.73","13"
"1480","2","794","[W, N, SE, W, W]","2708.5","0.5","50.73","13"
"1481","2","795","[W, N, SE, W, W]","2707.5","0.5","50.73","13"
"1482","2","795","[W, N, SE, W, W]","2706.5","0.5","50.73","13"
"1483","2","795","[W, N, SE, W, W]","2710.5","0.5","50.73","13"
"1484","2","797","[W, N, SE, W, W]","2709.5","0.5","50.73","13"
"1485","2","796","[W, N, SE, W, W]","2713.5","0.5","50.73","13"
"1486","2","796","[W, N, SE, W, W]","2712.5","0.5","50.73","13"
"1487","2","798","[W, N, SE, W, W]","2711.5","0.5","50.73","13"
"1488","2","799","[W, N, SE, W, W]","2710.5","0.5","50.73","13"
"1489","2","798","[W, N, SE, W, W]","2714.5","0.5","50.73","13"
"1490","2","799","[W, N, SE, W, W]","2713.5","0.5","50.73","13"
"1491","2","800","[W, N, SE, W, W]","2712.5","0.5","50.73","13"
"1492","2","801","[W, N, SE, W, W]","2711.5","0.5","50.73","13"
"1493","2","801","[W, N, SE, W, W]","2710.5","0.5","50.73","13"
"1494","2","801","[W, N, SE, W, W]","2709.5","0.5","50.73","13"
"1495","2","801","[W, N, SE, W, W]","2708.5","0.5","50.73","13"
"1496","2","801","[W, N, SE, W, W]","2707.5","0.5","50.73","13"
"1497","2","801","[W, N, SE, W, W]","2706.5","0.5","50.73","13"
"1498","2","801","[W, N, SE, W, W]","2710.5","0.5","50.73","13"
"1499","2","801","[W, N, SE, W, W]","2714.5","0.5","50.73","13"
"1500","2","802","[W, N, SE, W, W]","2713.5","0.5","50.73","13"
"1501","2","802","[W, N, SE, W, W]","2717.5","0.5","50.73","13"
"1502","2","803","[W, N, SE, W, W]","2716.5","0.5","50.73","13"
"1503","2","802","[W, N, SE, W, W]","2720.5","0.5","50.73","13"
"1504","2","801","[W, N, SE, W, W]","2724.5","0.5","50.73","13"
"1505","2","801","[W, N, SE, W, W]","2728.5","0.5","50.73","13"
"1506","2","800","[W, N, SE, W, W]","2737.5","0.5","50.73","13"
"1507","2","799","[W, N, SE, W, W]","2741.5","0.5","50.73","13"
"1508","2","799","[W, N, SE, W, W]","2740.5","0.5","50.73","13"
"1509","2","800","[W, N, SE, W, W]","2739.5","0.5","50.73","13"
"1510","2","800","[W, N, SE, W, W]","2738.5","0.5","50.73","13"
"1511","2","801","[W, N, SE, W, W]","2737.5","0.5","50.73","13"
"1512","2","802","[W, N, SE, W, W]","2736.5","0.5","50.73","13"
"1513","2","803","[W, N, SE, W, W]","2735.5","0.5","50.73","13"
"1514","2","803","[W, N, SE, W, W]","2739.5","0.5","50.73","13"
"1515","2","801","[W, N, SE, W, W]","2748.5","0.5","50.73","13"
"1516","2","800","[W, N, SE, W, W]","2752.5","0.5","50.73","13"
"1517","2","799","[W, N, SE, W, W]","2756.5","0.5","50.73","13"
"1518","2","797","[W, N, SE, W, W]","2765.5","0.5","50.73","13"
"1519","2","796","[W, N, SE, W, W]","2769.5","0.5","50.73","13"
"1520","2","796","[W, N, SE, W, W]","2773.5","0.5","50.73","13"
"1521","2","795","[W, N, SE, W, W]","2777.5","0.5","50.73","13"
"1522","2","796","[W, N, SE, W, W]","2776.5","0.5","50.73","13"
"1523","2","795","[W, N, SE, W, W]","2785.5","0.5","50.73","13"
"1524","2","793","[W, N, SE, W, W]","2794.5","0.5","50.73","13"
"1525","2","791","[W, N, SE, W, W]","2803.5","0.5","50.73","13"
"1526","2","790","[W, N, SE, W, W]","2807.5","0.5","50.73","13"
"1527","2","791","[W, N, SE, W, W]","2806.5","0.5","50.73","13"
"1528","2","792","[W, N, SE, W, W]","2805.5","0.5","50.73","13"
"1529","2","793","[W, N, SE, W, W]","2804.5","0.5","50.73","13"
"1530","2","792","[W, N, SE, W, W]","2813.5","0.5","50.73","13"
"1531","2","793","[W, N, SE, W, W]","2812.5","0.5","50.73","13"
"1532","2","794","[W, N, SE, W, W]","2811.5","0.5","50.73","13"
"1533","2","795","[W, N, SE, W, W]","2810.5","0.5","50.73","13"
"1534","2","796","[W, N, SE, W, W]","2809.5","0.5","50.73","13"
"1535","2","797","[W, N, SE, W, W]","2808.5","0.5","50.73","13"
"1536","2","797","[W, N, SE, W, W]","2807.5","0.5","50.73","13"
"1537","2","797","[W, N, SE, W, W]","2806.5","0.5","50.73","13"
"1538","2","797","[W, N, SE, W, W]","2805.5","0.5","50.73","13"
"1539","2","796","[W, N, SE, W, W]","2809.5","0.5","50.73","13"
"1540","2","795","[W, N, SE, W, W]","2813.5","0.5","50.73","13"
"1541","2","796","[W, N, SE, W, W]","2812.5","0.5","50.73","13"
"1542","2","796","[W, N, SE, W, W]","2811.5","0.5","50.73","13"
"1543","2","796","[W, N, SE, W, W]","2810.5","0.5","50.73","13"
"1544","2","796","[W, N, SE, W, W]","2814.5","0.5","50.73","13"
"1545","2","796","[W, N, SE, W, W]","2818.5","0.5","50.73","13"
"1546","2","798","[W, N, SE, W, W]","2817.5","0.5","50.73","13"
"1547","2","800","[W, N, SE, W, W]","2816.5","0.5","50.73","13"
"1548","2","802","[W, N, SE, W, W]","2815.5","0.5","50.73","13"
"1549","2","802","[W, N, SE, W, W]","2814.5","0.5","50.73","13"
"1550","2","802","[W, N, SE, W, W]","2813.5","0.5","50.73","13"
"1551","2","802","[W, N, SE, W, W]","2817.5","0.5","50.73","13"
"1552","2","802","[W, N, SE, W, W]","2816.5","0.5","50.73","13"
"1553","2","803","[W, N, SE, W, W]","2815.5","0.5","50.73","13"
"1554","2","803","[W, N, SE, W, W]","2819.5","0.5","50.73","13"
"1555","2","802","[W, N, SE, W, W]","2828.5","0.5","50.73","13"
"1556","2","802","[W, N, SE, W, W]","2827.5","0.5","50.73","13"
"1557","2","803","[W, N, SE, W, W]","2826.5","0.5","50.73","13"
"1558","2","802","[W, N, SE, W, W]","2830.5","0.5","50.73","13"
"1559","2","802","[W, N, SE, W, W]","2834.5","0.5","50.73","13"
"1560","2","802","[W, N, SE, W, W]","2833.5","0.5","50.73","13"
"1561","2","802","[W, N, SE, W, W]","2832.5","0.5","50.73","13"
"1562","2","802","[W, N, SE, W, W]","2831.5","0.5","50.73","13"
"1563","2","802","[W, N, SE, W, W]","2835.5","0.5","50.73","13"
"1564","2","801","[W, N, SE, W, W]","2839.5","0.5","50.73","13"
"1565","2","801","[W, N, SE, W, W]","2843.5","0.5","50.73","13"
"1566","2","801","[W, N, SE, W, W]","2842.5","0.5","50.73","13"
"1567","2","801","[W, N, SE, W, W]","2846.5","0.5","50.73","13"
"1568","2","800","[W, N, SE, W, W]","2850.5","0.5","50.73","13"
"1569","2","799","[W, N, SE, W, W]","2854.5","0.5","50.73","13"
"1570","2","799","[W, N, SE, W, W]","2853.5","0.5","50.73","13"
"1571","2","799","[W, N, SE, W, W]","2852.5","0.5","50.73","13"
"1572","2","800","[W, N, SE, W, W]","2851.5","0.5","50.73","13"
"1573","2","800","[W, N, SE, W, W]","2850.5","0.5","50.73","13"
"1574","2","799","[W, N, SE, W, W]","2854.5","0.5","50.73","13"
"1575","2","800","[W, N, SE, W, W]","2853.5","0.5","50.73","13"
"1576","2","800","[W, N, SE, W, W]","2852.5","0.5","50.73","13"
"1577","2","802","[W, N, SE, W, W]","2851.5","0.5","50.73","13"
"1578","2","802","[W, N, SE, W, W]","2855.5","0.5","50.73","13"
"1579","2","801","[W, N, SE, W, W]","2859.5","0.5","50.73","13"
"1580","2","803","[W, N, SE, W, W]","2858.5","0.5","50.73","13"
"1581","2","804","[W, N, SE, W, W]","2857.5","0.5","50.73","13"
"1582","2","805","[W, N, SE, W, W]","2856.5","0.5","50.73","13"
"1583","2","805","[W, N, SE, W, W]","2855.5","0.5","50.73","13"
"1584","2","805","[W, N, SE, W, W]","2859.5","0.5","50.73","13"
"1585","2","806","[W, N, SE, W, W]","2858.5","0.5","50.73","13"
"1586","2","807","[W, N, SE, W, W]","2857.5","0.5","50.73","13"
"1587","2","807","[W, N, SE, W, W]","2856.5","0.5","50.73","13"
"1588","2","806","[W, N, SE, W, W]","2860.5","0.5","50.73","13"
"1589","2","805","[W, N, SE, W, W]","2864.5","0.5","50.73","13"
"1590","2","805","[W, N, SE, W, W]","2868.5","0.5","50.73","13"
"1591","2","803","[W, N, SE, W, W]","2877.5","0.5","50.73","13"
"1592","2","802","[W, N, SE, W, W]","2881.5","0.5","50.73","13"
"1593","2","802","[W, N, SE, W, W]","2885.5","0.5","50.73","13"
"1594","2","801","[W, N, SE, W, W]","2894.5","0.5","50.73","13"
"1595","2","801","[W, N, SE, W, W]","2893.5","0.5","50.73","13"
"1596","2","801","[W, N, SE, W, W]","2897.5","0.5","50.73","13"
"1597","2","801","[W, N, SE, W, W]","2901.5","0.5","50.73","13"
"1598","2","800","[W, N, SE, W, W]","2905.5","0.5","50.73","13"
"1599","2","799","[W, N, SE, W, W]","2914.5","0.5","50.73","13"
"1600","2","799","[W, N, SE, W, W]","2913.5","0.5","50.73","13"
"1601","2","798","[W, N, SE, W, W]","2917.5","0.5","50.73","13"
"1602","2","798","[W, N, SE, W, W]","2921.5","0.5","50.73","13"
"1603","2","800","[W, N, SE, W, W]","2920.5","0.5","50.73","13"
"1604","2","798","[W, N, SE, W, W]","2929.5","0.5","50.73","13"
"1605","2","799","[W, N, SE, W, W]","2933.5","0.5","50.73","13"
"1606","2","799","[W, N, SE, W, W]","2932.5","0.5","50.73","13"
"1607","2","800","[W, N, SE, W, W]","2931.5","0.5","50.73","13"
"1608","2","799","[W, N, SE, W, W]","2935.5","0.5","50.73","13"
"1609","2","800","[W, N, SE, W, W]","2939.5","0.5","50.73","13"
"1610","2","801","[W, N, SE, W, W]","2943.5","0.5","50.73","13"
"1611","2","801","[W, N, SE, W, W]","2947.5","0.5","50.73","13"
"1612","2","801","[W, N, SE, W, W]","2946.5","0.5","50.73","13"
"1613","2","802","[W, N, SE, W, W]","2945.5","0.5","50.73","13"
"1614","2","802","[W, N, SE, W, W]","2944.5","0.5","50.73","13"
"1615","2","802","[W, N, SE, W, W]","2943.5","0.5","50.73","13"
"1616","2","803","[W, N, SE, W, W]","2942.5","0.5","50.73","13"
"1617","2","802","[W, N, SE, W, W]","2951.5","0.5","50.73","13"
"1618","2","802","[W, N, SE, W, W]","2950.5","0.5","50.73","13"
"1619","2","801","[W, N, SE, W, W]","2954.5","0.5","50.73","13"
"1620","2","802","[W, N, SE, W, W]","2958.5","0.5","50.73","13"
"1621","2","802","[W, N, SE, W, W]","2957.5","0.5","50.73","13"
"1622","2","802","[W, N, SE, W, W]","2961.5","0.5","50.73","13"
"1623","2","803","[W, N, SE, W, W]","2960.5","0.5","50.73","13"
"1624","2","802","[W, N, SE, W, W]","2964.5","0.5","50.73","13"
"1625","2","801","[W, N, SE, W, W]","2968.5","0.5","50.73","13"
"1626","2","802","[W, N, SE, W, W]","2972.5","0.5","50.73","13"
"1627","2","803","[W, N, SE, W, W]","2971.5","0.5","50.73","13"
"1628","2","804","[W, N, SE, W, W]","2970.5","0.5","50.73","13"
"1629","2","804","[W, N, SE, W, W]","2969.5","0.5","50.73","13"
"1630","2","805","[W, N, SE, W, W]","2968.5","0.5","50.73","13"
"1631","2","805","[W, N, SE, W, W]","2967.5","0.5","50.73","13"
"1632","2","804","[W, N, SE, W, W]","2971.5","0.5","50.73","13"
"1633","2","805","[W, N, SE, W, W]","2970.5","0.5","50.73","13"
"1634","2","804","[W, N, SE, W, W]","2974.5","0.5","50.73","13"
"1635","2","804","[W, N, SE, W, W]","2978.5","0.5","50.73","13"
"1636","2","805","[W, N, SE, W, W]","2977.5","0.5","50.73","13"
"1637","2","805","[W, N, SE, W, W]","2981.5","0.5","50.73","13"
"1638","2","806","[W, N, SE, W, W]","2980.5","0.5","50.73","13"
"1639","2","805","[W, N, SE, W, W]","2984.5","0.5","50.73","13"
